sample_created_date,mean_value_scaled
2010-09-24,0.15054986727341677
2010-09-26,0.006087163610383425
2010-09-29,0.004905166775670372
2010-10-01,0.01456173523722588
2010-10-03,0.0005919161170302722
2010-10-04,0.2225215517241379
2010-10-06,0.0
2010-10-09,0.17671596511186954
2010-10-12,0.005067873303167421
2010-10-13,0.29305384299219067
2010-10-13,0.003977309773749755
2010-10-17,0.2754208754208754
2010-10-17,0.38461538461538464
2010-10-17,0.21885521885521886
2010-10-18,0.19819587628865978
2010-10-19,0.0
2010-10-19,0.11672831894780104
2010-10-25,0.01423572623937754
2010-10-28,0.10769814182783465
2010-10-29,0.11584051724137931
2010-10-30,0.15948275862068964
2010-10-31,0.1336206896551724
2010-11-01,0.046033703247020136
2010-11-04,0.0023529411764705885
2010-11-05,0.004303318771598096
